Player,Age,Team,Pos,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl%
A'Shawn Robinson,29,CAR,RDE,0,1,1,100,3,3,3,0,79.2,-5,-5,8,0,1,2,1,5.5,9,80,5.9
Jeffery Simmons,27,TEN,DT,0,1,1,100,6,6,6,0,91.7,-1,-1,7,0,6,4,3,5,15,76,7.3
Grover Stewart,31,IND,NT,0,3,3,100,34,11.3,11.3,0,113.9,-5.3,-16,50,0,4,2,3,3.5,10,74,9.8
Cameron Heyward,35,PIT,LDE,0,1,1,100,5,5,5,0,87.5,2,2,3,0,5,10,10,8,24,71,4.1
Davon Godchaux,30,NWE,NT,0,0,0,,0,,,0,,,0,0,0,1,1,1,0,2,67,2.9
Adam Butler,30,LVR,RDT,0,3,3,100,18,6,6,0,91.7,-3.7,-11,29,0,5,4,0,5,15,65,9.7
Leonard Williams,30,SEA,LDE,1,0,0,,0,,,0,,,0,0,0,2,16,2,11,30,64,5.9
DaVon Hamilton,27,JAX,RDT,0,2,2,100,19,9.5,9.5,0,106.2,-2.5,-5,24,1,3,2,0,0,5,62,4.6
Kobie Turner,25,LAR,LDE,0,3,3,100,30,10,10,0,108.3,-3.7,-11,41,0,10,4,4,8,22,62,4.6
Zach Allen,27,DEN,LDT,0,3,1,33.3,10,10,3.3,0,43.7,-3.3,-1,11,0,7,29,0,8.5,47,61,7.6
Carl Granderson,28,NOR,RDE,0,2,1,50,-5,-5,-2.5,0,56.2,4,-7,2,1,18,7,3,5.5,32,61,12.9
Travon Walker,24,JAX,RDE,0,3,3,100,23,7.7,7.7,0,98.6,-3.7,-11,34,2,13,5,0,10.5,29,61,14.1
Chauncey Golston,26,DAL,RDE,1,1,1,100,3,3,3,0,39.6,-1,-1,4,2,9,2,4,5.5,18,56,6.7
B.J. Hill,29,CIN,RDT,0,2,1,50,0,0,0,0,56.2,-4,-8,8,0,5,6,4,3,14,56,5.1
Harrison Phillips,28,MIN,NT,0,2,1,50,31,31,15.5,0,95.8,3.5,7,24,0,4,3,3,2,9,56,8.2
Keion White,25,NWE,LDE,0,13,12,92.3,112,9.3,8.6,0,102.6,-0.8,-10,122,6,12,10,5,5,28,56,8.2
Zach Sieler,29,MIA,LDE,1,4,2,50,18,9,4.5,0,22.9,2,5,13,0,3,8,1,10,22,55,8.3
Grady Jarrett,31,ATL,LDE,0,1,1,100,8,8,8,0,100,4,4,4,0,7,8,0,2.5,18,53,10.2
Gregory Rousseau,24,BUF,RDE,0,10,7,70,78,11.1,7.8,0,92.9,2.2,22,56,1,11,15,3,8,35,53,8.6
Calais Campbell,38,MIA,NT,0,0,0,,0,,,0,,,0,0,0,9,6,4,5,20,52,16.1
Daniel Ekuale,30,NWE,RDE,0,2,1,50,-1,-1,-0.5,0,56.2,0,-5,4,0,1,1,0,1,4,52,5.5
Rakeem Nunez-Roches,31,NYG,LDE,0,0,0,,0,,,0,,,0,0,0,0,3,2,2,6,52,3.7
Gervon Dexter,23,CHI,RDT,0,1,1,100,5,5,5,0,87.5,4,4,1,0,4,13,1,5,23,51,5.6
T'Vondre Sweat,23,TEN,NT,0,1,0,0,0,,0,0,39.6,5,0,0,0,4,2,0,1,7,51,12.1
Myles Garrett,29,CLE,RDE,0,3,2,66.7,20,10,6.7,0,85.4,-1.7,2,18,0,13,17,1,14,44,47,6
Rashan Gary,27,GNB,RDE,0,0,0,,0,,,0,,,0,0,6,10,8,1,7.5,26,47,2.1
Osa Odighizuwa,26,DAL,LDT,0,3,2,66.7,17,8.5,5.7,0,81.2,-2,-9,26,0,10,17,0,4.5,33,47,4.1
DeMarcus Walker,30,CHI,RDE,0,1,1,100,6,6,6,0,91.7,-7,-7,13,0,6,13,0,3.5,23,47,4.1
Trey Hendrickson,30,CIN,RDE,0,6,5,83.3,30,6,5,0,87.5,1.2,9,21,1,18,17,3,17.5,54,46,8
Danielle Hunter,30,HOU,RDE,0,3,1,33.3,13,13,4.3,0,47.9,-6,-4,17,8,10,11,3,12,34,46,8
John Jenkins,35,LVR,LDT,0,0,0,,0,,,0,,,0,0,0,3,2,2,1,7,46,11.5
Joseph Ossai,24,CIN,DE,0,7,6,85.7,45,7.5,6.4,0,93.5,0.3,-2,47,2,7,10,1,5,23,46,13.2
Shy Tuttle,29,CAR,NT,0,0,0,,0,,,0,,,0,0,0,2,1,3,0,3,46,4.2
Josh Hines-Allen,27,JAX,LDE,0,10,8,80,57,7.1,5.7,1,123.7,-3.2,-24,81,5,9,11,2,8,29,45,8.2
David Onyemata,32,ATL,RDE,0,1,1,100,-2,-2,-2,0,79.2,-8,-8,6,0,6,2,1,3,11,45,6.3
Jarran Reed,32,SEA,RDE,0,1,1,100,2,2,2,0,79.2,-3,-3,5,0,4,11,2,4.5,20,45,2.2
Bobby Brown,24,LAR,NT,0,1,0,0,1,,1,0,39.6,-4,-4,5,0,0,1,1,0,1,44,2.2
Braden Fiske,24,LAR,RDE,0,3,3,100,8,2.7,2.7,0,79.2,-3.3,-10,18,1,11,2,0,8.5,22,44,13.7
Sebastian Joseph-Day,29,TEN,RDE,0,0,0,,0,,,0,,,0,0,0,2,2,1,2.5,7,44,12
Jer'Zhan Newton,22,WAS,LDT,0,0,0,,0,,,0,,,0,0,0,2,5,1,2,9,44,2.2
Nnamdi Madubuike,27,BAL,DT,0,0,0,,0,,,0,,,0,0,0,4,9,1,6.5,21,43,2.3
