Player,Age,Team,Pos,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl%
Zaire Franklin,28,IND,LLB,2,82,66,80.5,635,9.6,7.7,2,96.9,5.1,302,333,43,3,1,0,3.5,8,173,12.2
Jamien Sherwood,24,NYJ,RILB,0,52,40,76.9,349,8.7,6.7,2,107,4.8,147,202,28,1,0,0,2,3,158,5.4
Robert Spillane,29,LVR,MLB,2,67,49,73.1,504,10.3,7.5,4,101.8,4.5,219,285,60,1,1,2,2,4,158,6.5
Roquan Smith,27,BAL,LILB,1,68,50,73.5,644,12.9,9.5,2,106.5,4.5,230,414,48,4,2,0,1.5,8,154,3.1
Zack Baun,28,PHI,LLB,1,68,50,73.5,379,7.6,5.6,0,80.5,2,73,306,64,2,1,1,3.5,7,151,5
Kaden Elliss,29,ATL,RILB,1,60,48,80,457,9.5,7.6,1,97,4.7,192,265,60,6,11,0,5,22,151,4.4
Daiyan Henley,25,LAC,LILB,1,79,56,70.9,525,9.4,6.6,1,87.8,3.1,120,405,52,2,2,0,1,5,147,8.7
Jordyn Brooks,27,MIA,RILB,0,82,55,67.1,582,10.6,7.1,3,99.7,4.3,198,384,38,5,3,0,3,11,143,5.9
Germaine Pratt,28,CIN,MLB,2,71,50,70.4,505,10.1,7.1,2,88.1,2.6,93,412,43,3,4,2,0,7,143,11.2
E.J. Speed,29,IND,MLB,1,62,49,79,454,9.3,7.3,1,95.8,2.1,134,320,46,3,1,1,0,4,142,10.7
Eric Kendricks,32,DAL,MLB,2,36,26,72.2,375,14.4,10.4,2,101,3.9,87,288,36,1,0,1,3,4,138,6.1
Ernest Jones,25,2TM,RILB,1,48,35,72.9,362,10.3,7.5,0,85.6,4.4,144,58,55,0,2,1,0.5,3,138,6.1
Kyzir White,28,ARI,RILB,1,51,38,74.5,410,10.8,8,1,96,2.8,106,304,47,2,5,0,2.5,10,137,5.5
Demario Davis,35,NOR,MLB,1,55,37,67.3,378,10.2,6.9,0,79.2,4.3,140,238,38,1,2,0,2,5,136,7.5
Christian Rozeboom,27,LAR,RLB,1,56,45,80.4,476,10.6,8.5,2,106.5,3.6,121,355,21,0,0,0,1,1,135,8.8
