Player,Age,Team,Pos,Cmp%,Yds,TD,Int,Succ%,Lng,AY/A,Y/C,Y/G,Rate,Sk
Joe Burrow,28,CIN,QB,70.6,4918,43,9,53.6,70,8.24,10.7,289.3,108.5,48
Jared Goff,30,DET,QB,72.4,4629,37,12,54.7,82,8.96,11.9,272.3,111.8,31
Baker Mayfield,29,TAM,QB,71.4,4500,41,16,53.9,57,8.07,11.1,264.7,106.8,40
Geno Smith,34,SEA,QB,70.4,4320,21,15,48.4,71,7.03,10.6,254.1,93.2,50
Sam Darnold,27,MIN,QB,66.2,4319,35,12,47.7,97,8.22,12,254.1,102.5,48
Lamar Jackson,27,BAL,QB,66.7,4172,41,4,51.3,84,10.15,13.2,245.4,119.6,23
Patrick Mahomes,29,KAN,QB,67.5,3928,26,11,50.7,54,6.8,10,245.5,93.5,36
Aaron Rodgers,41,NYJ,QB,63,3897,28,11,43.9,71,6.78,10.6,229.2,90.5,40
Justin Herbert,26,LAC,QB,65.9,3870,23,3,44.4,66,8.32,11.7,227.6,101.7,41
Brock Purdy,25,SFO,QB,65.9,3864,20,12,49.4,76,8.18,12.9,257.6,96.1,31
Kyler Murray,27,ARI,QB,68.8,3851,21,11,51.7,60,6.98,10.4,226.5,93.5,30
Bo Nix,24,DEN,QB,66.3,3775,29,12,43.7,93,6.73,10,222.1,93.3,24
Matthew Stafford,36,LAR,QB,65.8,3762,20,8,50.1,69,7.35,11.1,235.1,93.7,28
Josh Allen,28,BUF,QB,63.6,3731,28,6,49.1,64,8.33,12.2,219.5,101.4,14
C.J. Stroud,23,HOU,QB,63.2,3727,20,12,43,67,6.74,11.1,219.2,87,52
Jayden Daniels,24,WAS,QB,69,3568,25,9,47.1,86,7.63,10.8,209.9,100.1,47
Caleb Williams,23,CHI,QB,62.5,3541,20,6,40.3,47,6.53,10.1,208.3,87.8,68
Jordan Love,26,GNB,QB,63.1,3389,25,11,48.3,70,7.99,12.6,225.9,96.7,14
Jalen Hurts,26,PHI,QB,68.7,2903,18,5,46.6,67,8.42,11.7,193.5,103.7,38
