Player,Age,Team,Pos,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl%
Budda Baker,28,ARI,FS,0,74,55,74.3,608,11.1,8.2,7,129.8,7.4,364,244,31,2,1,0,2,5,164,9.9
Nick Cross,23,IND,SS,3,59,42,71.2,506,12,8.6,6,109.9,9.2,295,211,15,1,0,0,1,2,146,7.6
Kevin Byard,31,CHI,SS,1,54,38,70.4,507,13.3,9.4,4,116.8,11.8,305,202,11,2,0,0,2,4,130,7.8
Xavier Woods,29,CAR,FS,3,51,35,68.6,426,12.2,8.4,5,102.2,9.8,304,122,5,1,0,0,0,1,119,7.8
Jeremy Chinn,26,WAS,FS,1,53,39,73.6,459,11.8,8.7,7,131.2,9.6,292,167,22,1,1,0,2,4,117,5.6
Brandon Jones,26,DEN,FS,3,70,47,67.1,492,10.5,7,2,79,7.3,245,247,14,2,1,0,0,3,115,6.5
Grant Delpit,26,CLE,SS,0,49,39,79.6,472,12.1,9.6,4,134,7,201,271,32,1,4,0,1,6,111,5.1
Quentin Lake,25,LAR,SS,0,63,41,65.1,458,11.2,7.3,4,107.8,9.1,298,160,13,4,1,1,2,7,111,8.3
Brian Branch,23,DET,SS,4,84,51,60.7,584,11.5,7,3,73.7,8.7,392,192,25,2,5,0,1,8,109,8.4
Julian Love,26,SEA,FS,3,65,39,60,401,10.3,6.2,6,89.3,8.5,251,150,10,0,0,0,0,0,109,8.4
DeShon Elliott,27,PIT,FS,1,59,39,66.1,308,7.9,5.2,3,88.8,6.2,171,137,22,1,2,1,0,3,108,2.7
Kyle Hamilton,23,BAL,SS,1,58,42,72.4,326,7.8,5.6,1,84.4,5.2,173,153,34,1,4,2,2,7,107,7.8
Tre'von Moehrig,25,LVR,SS,2,58,38,65.5,378,9.9,6.5,4,92.5,5.3,187,191,52,3,1,3,1,6,104,7.1
Josh Metellus,26,MIN,S,2,73,53,72.6,608,11.5,8.3,1,90.4,5.3,293,315,56,5,6,0,0,11,103,2.8
Jessie Bates III,27,ATL,SS,4,51,36,70.6,345,9.6,6.8,5,89.1,7.5,190,155,10,2,1,0,1,4,102,7.3
Jaylon Jones,22,IND,LCB,2,101,67,66.3,814,12.1,8.1,1,86,9.5,538,276,0,0,0,0,0,0,100,14.5
Jordan Poyer,33,MIA,FS,0,50,33,66,490,14.8,9.8,2,111.2,9,268,222,12,2,1,0,0,3,98,10.9
Jalen Thompson,26,ARI,SS,0,47,38,80.9,442,11.6,9.4,2,120,7.8,277,165,14,0,2,0,0,2,98,5.8
Devon Witherspoon,24,SEA,LCB,0,88,62,70.5,653,10.5,7.4,4,106.9,5.4,224,429,27,4,1,1,1,6,98,13.3
Camryn Bynum,26,MIN,FS,3,52,32,61.5,442,13.8,8.5,2,77.6,12.2,271,171,7,0,0,0,0,0,96,6.8
Minkah Fitzpatrick,28,PIT,SS,1,52,41,78.8,540,13.2,10.4,4,127.6,9.6,348,192,8,0,0,0,0,0,96,4
Derwin James,28,LAC,SS,1,58,36,62.1,304,8.4,5.2,1,74.2,4.8,125,179,66,5,0,3,5.5,11,93,3.1
Mike Sainristil,24,WAS,RCB,2,96,58,60.4,740,12.8,7.7,6,96.7,11.2,505,235,4,0,0,0,0,0,93,7
Javon Bullard,22,GNB,SS,0,54,46,85.2,459,10,8.5,3,120.6,5.1,197,262,10,0,0,0,0,0,90,9.1
Isaiah Pola-Mao,25,LVR,FS,0,49,36,73.5,540,15,11,3,129.6,9.7,342,198,13,1,0,0,1,2,89,13.6
Alontae Taylor,26,NOR,LCB,0,103,64,62.1,852,13.3,8.3,7,111,9.8,480,372,15,1,1,0,4,7,89,18.3
Xavier McKinney,26,GNB,FS,8,49,36,73.5,564,15.7,11.5,1,78.5,13,408,156,13,1,0,0,1,2,88,3.3
Keisean Nixon,27,GNB,LCB,1,87,50,57.5,464,9.3,5.3,3,78.9,7.4,311,153,9,0,3,0,3,6,88,9.3
